"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
2,182299,0,0,0,0.344003,2.54634,7.41e-05,0.000406285,0,0,0.344003,2.54634,7.41e-05,0.000406285,0,8.12963e-06,1.51869e-06,0,NA,NA,2023,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,160979,0.00109042,0.00724748,0,0,1.19674e-05,6.58215e-05,0.00109042,0.00724748,0,0,1.19674e-05,6.58215e-05,2.61421e-08,0,1.56865e-07,0,-0.321076,-0.321076,2024,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,253341,0,0,0,0.0924686,0.723679,6.55606e-06,3.59796e-05,0,0,0.0924686,0.723679,6.55606e-06,3.59796e-05,0,3.85866e-06,1.1488e-07,0,NA,NA,2024,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,3471260,0.000507193,0.00339461,0,0,5.56445e-06,3.06161e-05,0.000507193,0.00339461,0,0,5.56445e-06,3.06161e-05,1.51256e-08,0,5.46518e-08,0.999999,-0.235934,-0.235934,2025,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,256804,0,0,0,0.108393,0.796247,3.17005e-06,1.7402e-05,0,0,0.108393,0.796247,3.17005e-06,1.7402e-05,0,2.41945e-06,4.16185e-08,0,NA,NA,2025,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,0,23680.2,280814,0,0,15587.5,117050,23680.2,280814,0,0,15587.5,117050,2.04925,0,0.103276,0.29638,0.535751,0.535751,2000,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,637184,0,0,0,35136.7,416625,2336.93,16039,0,0,35136.7,416625,2336.93,16039,0,0.323504,0.0195188,0,NA,NA,2000,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,9045010,11551,153613,0,0,22527.4,154518,11551,153613,0,0,22527.4,154518,1.47156,0,0.133505,0.33282,-0.522428,-0.522428,2001,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,492760,0,0,0,41254.1,617648,3137.41,20213.6,0,0,41254.1,617648,3137.41,20213.6,0,0.441687,0.0242249,0,NA,NA,2001,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,1428500,16590,246336,0,0,35612.5,236188,16590,246336,0,0,35612.5,236188,1.94298,0,0.259363,0.332282,2.39354,2.39354,2002,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
