"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,7898120,20726.2,319816,0,0,41220.9,398941,20726.2,319816,0,0,41220.9,398941,0.0534228,0,0.323905,0,0.317084,0.317084,2006,"margComp_20210921_OM",7,"margComps_highDatQual"
2,907491,0,0,0,39900.3,585892,0,0,0,0,39900.3,585892,0,0,0,0.0861438,0,0,NA,NA,2006,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,6107880,46228.2,663629,0,0,48237,437102,46228.2,663629,0,0,48237,437102,0.150527,0,0.263163,0,-0.168879,-0.168879,2007,"margComp_20210921_OM",7,"margComps_highDatQual"
2,816560,0,0,0,42910.2,582861,0,0,0,0,42910.2,582861,0,0,0,0.149642,0,0,NA,NA,2007,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3677900,30249.2,403929,0,0,39800.1,344393,30249.2,403929,0,0,39800.1,344393,0.164652,0,0.211651,0,0.475037,0.475037,2008,"margComp_20210921_OM",7,"margComps_highDatQual"
2,643293,0,0,0,41198.5,510439,0,0,0,0,41198.5,510439,0,0,0,0.204036,0,0,NA,NA,2008,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,6627440,14044.9,185330,0,0,46210.9,378887,14044.9,185330,0,0,46210.9,378887,0.126714,0,0.293396,0,0.370068,0.370068,2009,"margComp_20210921_OM",7,"margComps_highDatQual"
2,458972,0,0,0,31146.5,432548,0,0,0,0,31146.5,432548,0,0,0,0.249062,0,0,NA,NA,2009,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,5417900,11274,164057,0,0,54086,415631,11274,164057,0,0,54086,415631,0.118661,0,0.489195,0,-1.86108,-1.86108,2010,"margComp_20210921_OM",7,"margComps_highDatQual"
2,373638,0,0,0,27267.7,372228,0,0,0,0,27267.7,372228,0,0,0,0.192606,0,0,NA,NA,2010,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,542141,24871.4,312250,0,0,45556.1,333996,24871.4,312250,0,0,45556.1,333996,0.217974,0,0.614869,0,-3.49505,-3.49505,2011,"margComp_20210921_OM",7,"margComps_highDatQual"
2,352522,0,0,0,23189.9,250232,0,0,0,0,23189.9,250232,0,0,0,0.178644,0,0,NA,NA,2011,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,103521,1528.37,14068.2,0,0,92996.3,665363,1528.37,14068.2,0,0,92996.3,665363,0.0170068,0,2.01545,0,-2.88992,-2.88992,2012,"margComp_20210921_OM",7,"margComps_highDatQual"
2,215991,0,0,0,13884.9,110280,0,0,0,0,13884.9,110280,0,0,0,0.203811,0,0,NA,NA,2012,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,152784,921.561,6737.81,0,0,58126.1,380235,921.561,6737.81,0,0,58126.1,380235,0.0296596,0,1.81398,0,-1.6335,-1.6335,2013,"margComp_20210921_OM",7,"margComps_highDatQual"
2,96866.8,0,0,0,5625.03,39487.1,0,0,0,0,5625.03,39487.1,0,0,0,0.234721,0,0,NA,NA,2013,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,332006,1830.92,15485,0,0,17410.7,101373,1830.92,15485,0,0,17410.7,101373,0.256519,0,0.813647,0,-0.452295,-0.452295,2014,"margComp_20210921_OM",7,"margComps_highDatQual"
2,45624.2,0,0,0,727.71,7341.62,0,0,0,0,727.71,7341.62,0,0,0,0.0883921,0,0,NA,NA,2014,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,608868,6.13001,72.9604,0,0,67.57,370.494,6.13001,72.9604,0,0,67.57,370.494,0.00100433,0,0.00502462,0,-1.00042,-1.00042,2015,"margComp_20210921_OM",7,"margComps_highDatQual"
2,38176.3,0,0,0,185.82,2195.68,0,0,0,0,185.82,2195.68,0,0,0,0.0157891,0,0,NA,NA,2015,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,303082,283.54,2953.83,0,0,173.2,951.01,283.54,2953.83,0,0,173.2,951.01,0.0234967,0,0.0187335,0,-0.639117,-0.639117,2016,"margComp_20210921_OM",7,"margComps_highDatQual"
2,50668.1,0,0,0,7080.53,63564.4,0,0,0,0,7080.53,63564.4,0,0,0,0.404456,0,0,NA,NA,2016,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,550390,170.41,1377.88,0,0,3.39,18.6652,170.41,1377.88,0,0,3.39,18.6652,0.0117403,0,0.000468532,0,-1.11788,-1.11788,2017,"margComp_20210921_OM",7,"margComps_highDatQual"
2,46339.2,0,0,0,6229.43,54721.5,0,0,0,0,6229.43,54721.5,0,0,0,0.404227,0,0,NA,NA,2017,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,348104,35.31,344.015,0,0,10.37,56.0025,35.31,344.015,0,0,10.37,56.0025,0.00308714,0,0.00148577,0,0.121525,0.121525,2018,"margComp_20210921_OM",7,"margComps_highDatQual"
2,38229.9,0,0,0,11819.4,127065,0,0,0,0,11819.4,127065,0,0,0,0.952963,0,0,NA,NA,2018,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1488310,130.86,1567.59,0,0,10.24,55.6828,130.86,1567.59,0,0,10.24,55.6828,0.0152297,0,0.00176565,0,0,0,2019,"margComp_20210921_OM",7,"margComps_highDatQual"
2,32773.9,0,0,0,11819.4,170751,0,0,0,0,11819.4,170751,0,0,0,0.923563,0,0,NA,NA,2019,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1154560,0.0115787,0.165924,0,0,0.000421145,0.00252035,0.0115787,0.165924,0,0,0.000421145,0.00252035,8.3887e-07,0,8.94422e-08,0,-1.75334,-1.75334,2020,"margComp_20210921_OM",7,"margComps_highDatQual"
2,48269.3,0,0,0,1.52374,19.927,0.00014528,0.000843942,0,0,1.52374,19.927,0.00014528,0.000843942,0,5.6205e-05,3.93124e-08,0,NA,NA,2020,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,277314,150.98,1726.14,0,0,2.83664,19.2496,150.98,1726.14,0,0,2.83664,19.2496,0.00543711,0,0.000512034,0,0.065202,0.065202,2021,"margComp_20210921_OM",7,"margComps_highDatQual"
2,70722.6,0,0,0,12481.6,131223,0.984351,6.17109,0,0,12481.6,131223,0.984351,6.17109,0,0.420001,0.000228839,0,NA,NA,2021,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,2308740,1.33386,13.5904,0,0,0.0491235,0.330042,1.33386,13.5904,0,0,0.0491235,0.330042,6.01658e-05,0,6.02099e-06,0,1.05381,1.05381,2022,"margComp_20210921_OM",7,"margComps_highDatQual"
2,62064,0,0,0,123.231,1573.85,0.0178248,0.11211,0,0,123.231,1573.85,0.0178248,0.11211,0,0.0045788,2.69891e-06,0,NA,NA,2022,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,5613910,192.456,2868.08,0,0,6.80411,44.2756,192.456,2868.08,0,0,6.80411,44.2756,0.00722573,0,0.000558808,0,-3.14819,-3.14819,2023,"margComp_20210921_OM",7,"margComps_highDatQual"
2,104214,0,0,0,23950.7,365845,2.34915,14.5321,0,0,23950.7,365845,2.34915,14.5321,0,0.424903,0.000247909,0,NA,NA,2023,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,122572,1933.43,26054.6,0,0,22.5417,154.388,1933.43,26054.6,0,0,22.5417,154.388,0.0303586,0,0.00169117,0,0.251032,0.251032,2024,"margComp_20210921_OM",7,"margComps_highDatQual"
2,188715,0,0,0,135139,1507140,7.40751,45.8327,0,0,135139,1507140,7.40751,45.8327,0,2.05864,0.000816569,0,NA,NA,2024,"margComp_20210921_OM",7,"margComps_highDatQual"
